ContractCode,ContractAmount,ContractAnnotations,ProjectCode,suma_pagos,diferencia,propuesta,decision_final,decidido_por,fecha_decision
OS_2025_007,5660000,,ven_unicef_eduacelerada_v2_2024,5560000.0,-100000.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
OS_2025_038,3150000,MODIFICADO POR OTROSÍ,ven_unicef_pai_videos_2025,3850000.0,700000.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
OS_2025_083,1700000,MODIFICADO POR OTROSÍ,co_pnud_sicofa_cali_2024,2549992.0,849992.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
OS_2025_094,5600000,MODIFICADO POR OTROSÍ,Operaciones,8400000.0,2800000.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
OS_2026_007,1000000,,arg_pnud_a2030_v1_2023,100000.0,-900000.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
OS_2026_051,900000,,pa_pnud_academia_lider_2026,1150000.0,250000.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
PS_2026_001,14600000,MODIFICADO POR OTROSÍ,Operaciones,35600000.0,21000000.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
PS_2026_011,20000000,,co_csj_rama_judicial_2028,12000000.0,-8000000.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
PS_2026_019,10000000,,co_csj_rama_judicial_2025,12500000.0,2500000.0,si hubo otrosí: actualizar monto del contrato; si no: corregir cronograma,,,
